,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
0,0,Anand Vihar S.O,110092,DELHI,East Delhi,,28.6525373,77.3124158
1,1,Azad Nagar S.O (East Delhi),110051,DELHI,East Delhi,,28.6264682,77.2450109
2,2,Babarpur S.O (North East Delhi),110032,DELHI,North East Delhi,,28.6876088,77.2821608
3,3,Badarpur Khadar B.O,110090,DELHI,East Delhi,East Delhi,28.5039606,77.3018279
4,4,Balbir Nagar S.O,110032,DELHI,East Delhi,,28.6825116,77.2848629
5,5,Bhajan Pura S.O,110053,DELHI,North East Delhi,,0,0
6,6,Bhola Nath Nagar S.O,110032,DELHI,East Delhi,,29.0084906,77.5712556
7,7,Brahampuri S.O,110053,DELHI,East Delhi,,28.6464306,77.1859372
8,8,Chilla B.O,110091,DELHI,East Delhi,,28.5959804,77.3026459
9,9,Dayalpur B.O,110094,DELHI,North East Delhi,,28.7203701,77.271705
10,10,Dilshad Garden S.O,110095,DELHI,East Delhi,,0,0
11,11,Distt. Court (KKD) S.O,110032,DELHI,East Delhi,,0,0
12,12,G.T.B. Hospital S.O,110095,DELHI,East Delhi,,28.6896464,77.3119837
13,13,Gandhi Nagar Bazar S.O,110031,DELHI,East Delhi,,28.6583092,77.2226987
14,14,Gandhi Nagar S.O (East Delhi),110031,DELHI,East Delhi,,28.6583092,77.2226987
15,15,Garhi Mandu B.O,110053,DELHI,East Delhi,East Delhi,28.5570462,77.2512917
16,16,Geeta Colony S.O,110031,DELHI,East Delhi,,28.6361807,77.1774166
17,17,Ghazipur B.O,110096,DELHI,East Delhi,,28.6286586,77.3207839
18,18,Ghonda B.O,110053,DELHI,East Delhi,,28.6903201,77.2656588
19,19,Gokal Puri S.O,110094,DELHI,East Delhi,,0,0
20,20,Goverdhan Bihari Colony S.O,110032,DELHI,East Delhi,,0,0
21,21,Govind Pura S.O,110051,DELHI,East Delhi,,28.6413034,77.2441243
22,22,Harsh Vihar S.O,110093,DELHI,East Delhi,,0,0
23,23,Himmatpuri S.O,110091,DELHI,East Delhi,,28.6036798,77.304441
24,24,IP Extension S.O,110092,DELHI,East Delhi,,28.6317961,77.3046592
25,25,Jafrabad S.O (East Delhi),110053,DELHI,East Delhi,,28.6841295,77.2721327
26,26,Jagjit Nagar S.O,110053,DELHI,East Delhi,,0,0
27,27,Jhilmil H.O,110095,DELHI,East Delhi,,28.6757994,77.3124192
28,28,Jhilmil Tahirpur B.O,110095,DELHI,East Delhi,,28.6757994,77.3124192
29,29,Johripur B.O,110094,DELHI,East Delhi,,28.7174577,77.2851341
30,30,Kailash Nagar S.O,110031,DELHI,East Delhi,,28.6295369,77.2223563
31,31,Kalyanpuri S.O,110091,DELHI,East Delhi,,28.6179505,77.3142212
32,32,Kalyanvas S.O,110091,DELHI,East Delhi,,28.6201344,77.3116215
33,33,Karawal Nagar S.O,110090,DELHI,East Delhi,,28.7129965,77.2629171
34,34,Khazuri Khas B.O,110094,DELHI,East Delhi,,0,0
35,35,Krishna Nagar H.O,110051,DELHI,East Delhi,,28.6584248,77.2259243
36,36,Laxmi Nagar S.O (East Delhi),110092,DELHI,East Delhi,,28.6216087,77.347696
37,37,Loni Road Housing Complex S.O,110093,DELHI,East Delhi,,28.7005631,77.2951955
38,38,Loni Road S.O,110032,DELHI,East Delhi,,28.7005631,77.2951955
39,39,Man Sarovar Park S.O,110032,DELHI,East Delhi,,28.606873,77.2244281
